,teams,1_star,X_star,2_star,under_star,goals_star,over_star
465,Toolon Taisto  MPS Helsinki,2.65,3.65,2.02,.38,2.5,1.95
466,Utakmica,1,X,2,,2.5,i
467,Lamia  Levadiakos,2.21,2.85,3.50,1.46,2.5,2.50
468,Asteras T.  OFI,1.91,3.05,4.20,1.56,2.5,2.25
469,Olympiakos  Atromitos,1.29,4.65,10.3,7,2.5,1.75
470,Volos NFC  Aris,3.50,3.00,2.13,1.59,2.5,2.21
471,PAOK  Panathinaikos,2.45,2.85,3.00,1.50,2.5,2.45
472,Giannina PAS  Panaitolikos,2.30,2.90,3.25,1.54,2.5,2.30
473,AEK  Ionikos,1.19,5.65,14.0,9,2.5,1.60
474,Utakmica,1,X,2,,2.5,i
475,Bali United Pusam  PS TIRA-Persikabo,1.40,4.20,7.25,1.83,2.5,1.88
476,Utakmica,1,X,2,,2.5,i
477,Ironi K. Shmona  Hapoel Haifa,2.22,3.30,3.00,1.73,2.5,1.99
478,Ashdod  Hapoel Hadera,1.96,3.45,3.45,1.86,2.5,1.85
479,Maccabi Netanya  Hapoel B. Sheva,2.90,3.35,2.30,1.89,2.5,1.85
480,Maccabi Haifa  Maccabi T.A.,2.20,3.45,3.00,2.01,2.5,1.75
481,Bnei Sakhnin  Sektzia Nes Tziona,1.56,3.80,5.45,1.78,2.5,1.93
482,Hapoel T.A.  Hapoel Jerusalem,2.03,3.30,3.45,1.70,2.5,2.04
483,Beitar J.  Maccabi Bnei Raina,1.95,3.45,3.65,1.88,2.5,1.86
484,Utakmica,1,X,2,,2.5,i
485,Fukuoka  Vissel Kobe,2.90,3.10,2.55,1.60,2.5,2.35
486,Cerezo Osaka  Shonan Bellmare,1.99,3.40,3.85,1.76,2.5,2.07
487,Kashima Antlers  FC Tokyo,1.96,3.50,3.80,1.88,2.5,1.93
488,Sagan Tosu  Kyoto Sanga,2.01,3.40,3.80,1.76,2.5,2.07
489,Hiroshima  Urawa Reds,2.22,3.35,3.25,1.82,2.5,2.00
490,Gamba Osaka  Kashiwa,2.80,3.40,2.45,1.90,2.5,1.91
491,Sapporo  Kawasaki F.,4.00,3.85,1.83,2.30,2.5,1.64
492,Nagoya  Yokohama FM,3.55,3.60,2.01,2.02,2.5,1.80
493,Utakmica,1,X,2,,2.5,i
494,Mont.Yamagata  Albirex Niigata,3.00,3.30,2.35,1.82,2.5,2.00
495,Kofu  Tochigi SC,2.35,2.90,3.35,1.46,2.5,2.75
496,Thespakusatsu Gunma  Omiya,2.70,3.05,2.70,1.61,2.5,2.35
497,Tokus. Vortiis  Machida Zelvia,2.30,3.00,3.40,1.51,2.5,2.55
498,Ryukyu  Yokohama FC,3.85,3.25,2.00,1.68,2.5,2.20
